Video ID,Title,Duration,Views,Likes,Comments,Language,Topic,Publication Time,Region
KbiwL74KyJQ,Shrek 5 Cast Announcement,PT28S,7857543,156177,0,English,Entertainment,2025-02-27T16:01:18Z,US
8B1EtVPBSMw,A Minecraft Movie | Final Trailer,PT2M31S,11817150,239264,22966,English,Film & Animation,2025-02-27T20:00:04Z,US
W7FTkUFU7nw,Pokémon Presents | 2.27.2025,PT19M16S,3598547,156180,18509,English,Gaming,2025-02-27T14:00:06Z,US
r5VRqWkFpEQ,LISA - FUTW (Vixi Solo Version) (Official Music Video),PT3M48S,8197505,1014921,66379,English,Music,2025-02-28T05:01:26Z,US
vONxgCQWZCA,YoungBoy Never Broke Again - 5 Night [Official Video],PT3M16S,539983,60780,5886,English,Music,2025-02-28T06:32:53Z,US
pGGlJwLYel8,Tracking events is now easier than ever in Hay Day!,PT3M40S,785989,17038,1138,English,Gaming,2025-02-28T07:45:04Z,US
1yZFLRJ4F0Q,Tattoo - Tito Double P (Video Oficial),PT2M53S,1309007,77880,3945,English,Music,2025-02-28T02:02:26Z,US
ssOka8C8l4w,G Herbo - Traffic (Official Video),PT3M35S,362594,24805,1306,English,Music,2025-02-28T00:00:07Z,US
jl-sgSDwJHs,Good Bad Ugly Tamil Teaser | Ajith Kumar | Trisha | Adhik Ravichandran | Mythri Movie Makers,PT1M30S,31129769,791556,48423,English,Entertainment,2025-02-28T13:32:07Z,US
wVbZzgybaJ4,Marvin Sapp: Tiny Desk Concert,PT18M28S,246429,21253,1755,English,Music,2025-02-28T10:01:15Z,US
agvCOdQY84Q,Lizzo - Love in Real Life (Official Video),PT3M34S,1056307,29441,2101,English,Music,2025-02-28T05:00:01Z,US
M_KNDtKJJ-8,An Extended Look at Pokémon Legends: Z-A!,PT3M30S,1066308,34436,7909,English,Gaming,2025-02-27T14:21:24Z,US
l0H-YaOaIIY,"Jombriel, DFZM - Vitamina (Video Oficial)",PT3M34S,2228785,179430,10716,English,Music,2025-02-28T00:00:07Z,US
_0Dp9I3_7aQ,the weirdest tech of 2025,PT21M19S,932194,69333,4222,English,People & Blogs,2025-02-27T17:00:48Z,US
jPSbIjrcTgM,Death of Gene Hackman and His Wife Called 'Suspicious',PT3M34S,2149917,15571,3830,English,News & Politics,2025-02-27T23:48:10Z,US
i5eohB0OiKY,Using POPPY PLAYTIME to Fool My Friends in Minecraft,PT17M58S,479487,9169,628,English,Gaming,2025-02-28T02:00:34Z,US
qI1fbT3yxf4,"Fridayy, Chris Brown - One Call Away (Audio)",PT2M32S,225885,14534,870,English,Music,2025-02-28T05:00:58Z,US
O7Dt2L_rAhI,Benson Boone - Sorry I'm Here For Someone Else (Official Lyric Video),PT2M37S,429725,23004,2416,English,Music,2025-02-27T23:00:06Z,US
de6CnBa-qj0,SB19 'DAM' Music Video,PT5M2S,5872799,170339,86608,English,Music,2025-02-28T03:24:01Z,US
o0CFeS_EJR4,Digging a SECRET GARAGE Part 5 Major Progress,PT38M47S,2858714,204772,7882,English,Entertainment,2025-02-27T16:01:01Z,US
vhYvfh332rg,Hermitcraft 10: Episode 28: REORIENTATION!,PT25M40S,716193,59289,3437,English,Gaming,2025-02-27T20:00:38Z,US
YCi4erc-QeQ,"Malcolm Todd, Omar Apollo - Bleed (Official Video)",PT3M21S,71497,10132,939,English,Music,2025-02-28T05:00:05Z,US
GFWHk65m10A,I did not care for the Shrek 5 teaser.,PT5M34S,755691,51651,4793,English,Entertainment,2025-02-28T01:09:23Z,US
QzFOKCGcxsI,"Everything YOU MISSED in Pokemon Legends Z-A Trailer, Pokemon Day 2025",PT19M47S,445933,18153,2700,English,Gaming,2025-02-27T20:00:17Z,US
jjUVRznlfeM,Finding out we're pregnant for the last time!!,PT26M7S,279618,16221,1400,English,People & Blogs,2025-02-27T20:30:13Z,US
UdS3gV0_MA8,ADÉLA - MACHINE GIRL (Official Music Video),PT3M5S,150817,22450,2003,English,Music,2025-02-28T05:00:06Z,US
1Km_6SBdAQ8,Sarah's pregnant!!!,PT9M9S,287722,19725,1755,English,People & Blogs,2025-02-27T20:31:20Z,US
RKZHim8d-30,Level 1 to 100 Impossible Exercises,PT16M46S,642339,33673,1589,English,People & Blogs,2025-02-27T15:00:40Z,US
RXd8MIA_A-M,When a Dog Spooks Your Horse! 🐎😱 Helmet Cam POV,PT28M56S,190994,2488,279,English,Pets & Animals,2025-02-21T16:45:02Z,US
cvMuH8VK8mM,"Myke Towers, Junior H, The Rudeboyz - MAL DE AMORES",PT3M31S,394452,55475,3565,English,Music,2025-02-28T00:00:06Z,US
Xhq0S0k6rD4,I Took A Pro Football Test & Got My Madden Rating!,PT11M16S,131931,3175,564,English,Gaming,2025-02-27T22:01:35Z,US
PKolOtesJts,Gene Hackman Death Investigation | Santa Fe County Sheriff's Office gives update on latest,PT6M29S,653436,8062,2047,English,News & Politics,2025-02-27T22:19:47Z,US
KNxv88wUgnM,"Karan Aujla, OneRepublic, Disha Patani, Ikky -  Tell Me (Official Music Video)",PT3M22S,15618146,288126,12038,English,Music,2025-02-27T17:59:51Z,US
DfdvO_Vr8n0,"NRL Match Highlights 2025 | Broncos v Bulldogs | Pre-Season, Week 3",PT4M50S,216235,1645,678,English,Sports,2025-02-22T08:50:35Z,US
GZfFPI8LJrc,All You Need for Gaming – AMD RDNA™ 4 and RX 9000 Series Reveal,PT32M39S,555178,31671,2751,English,Science & Technology,2025-02-28T13:37:16Z,US
yps5V5NxDok,I Turned Video Games Into LEGO...,PT12M7S,338991,17710,548,English,Education,2025-02-27T17:19:32Z,US
oLfajFkB4_M,NEW Pokemon Stadium & Legends Z-A IS Amazing,PT15M6S,357012,18251,2905,English,Gaming,2025-02-27T15:14:53Z,US
dNGqe9MCTiQ,ATTEMPTING TO DRIVE THE PORSCHE GT3RS THAT WENT SWIMMING,PT41M45S,1762244,75353,3132,English,Autos & Vehicles,2025-02-27T18:00:27Z,US
Sc0ZCqLUjSo,True Facts: How Camels Conquered the Desert,PT11M26S,430429,40495,1893,English,Pets & Animals,2025-02-27T15:31:36Z,US
62pyfjnzIuc,Death Of A Unicorn | Official Trailer 2 HD | A24,PT1M29S,2753361,11856,828,English,Film & Animation,2025-02-27T13:59:00Z,US
xnGimEqnyBE,ChatGPT Mistakes,PT13M45S,411710,34253,2638,English,People & Blogs,2025-02-27T19:06:59Z,US
